,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,3,271
1,05:00:01-06:00:00,3,33
2,06:00:01-07:00:00,6,102
3,07:00:01-08:00:00,8,203
4,08:00:01-09:00:00,4,240
5,09:00:01-10:00:00,3,307
6,10:00:01-11:00:00,3,182
7,11:00:01-12:00:00,4,233
8,12:00:01-13:00:00,5,171
9,13:00:01-14:00:00,2,97
10,14:00:01-15:00:00,3,136
11,15:00:01-16:00:00,5,202
12,16:00:01-17:00:00,2,183
13,17:00:01-18:00:00,3,127
14,18:00:01-19:00:00,1,181
15,19:00:01-20:00:00,2,193
16,20:00:01-21:00:00,1,75
17,21:00:01-22:00:00,2,109
18,22:00:01-23:00:00,1,60
19,23:00:01-24:00:00,2,24
