,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,2,1
1,05:00:01-06:00:00,1,1
2,06:00:01-07:00:00,4,9
3,07:00:01-08:00:00,5,33
4,08:00:01-09:00:00,9,55
5,09:00:01-10:00:00,6,80
6,10:00:01-11:00:00,8,85
7,11:00:01-12:00:00,9,80
8,12:00:01-13:00:00,3,46
9,13:00:01-14:00:00,3,51
10,14:00:01-15:00:00,3,77
11,15:00:01-16:00:00,4,103
12,16:00:01-17:00:00,6,96
13,17:00:01-18:00:00,4,97
14,18:00:01-19:00:00,4,204
15,19:00:01-20:00:00,5,207
16,20:00:01-21:00:00,5,163
17,21:00:01-22:00:00,6,183
18,22:00:01-23:00:00,10,100
19,23:00:01-24:00:00,5,43
