,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,9,120
1,05:00:01-06:00:00,7,24
2,06:00:01-07:00:00,10,36
3,07:00:01-08:00:00,10,77
4,08:00:01-09:00:00,8,145
5,09:00:01-10:00:00,10,186
6,10:00:01-11:00:00,8,155
7,11:00:01-12:00:00,5,153
8,12:00:01-13:00:00,4,212
9,13:00:01-14:00:00,7,195
10,14:00:01-15:00:00,5,230
11,15:00:01-16:00:00,10,227
12,16:00:01-17:00:00,5,294
13,17:00:01-18:00:00,10,343
14,18:00:01-19:00:00,5,406
15,19:00:01-20:00:00,6,360
16,20:00:01-21:00:00,9,361
17,21:00:01-22:00:00,7,332
18,22:00:01-23:00:00,6,341
19,23:00:01-24:00:00,6,229
