,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,3,168
1,05:00:01-06:00:00,2,0
2,06:00:01-07:00:00,6,308
3,07:00:01-08:00:00,10,351
4,08:00:01-09:00:00,9,432
5,09:00:01-10:00:00,8,601
6,10:00:01-11:00:00,11,568
7,11:00:01-12:00:00,3,335
8,12:00:01-13:00:00,7,304
9,13:00:01-14:00:00,9,296
10,14:00:01-15:00:00,8,265
11,15:00:01-16:00:00,9,139
12,16:00:01-17:00:00,8,153
13,17:00:01-18:00:00,8,172
14,18:00:01-19:00:00,10,196
15,19:00:01-20:00:00,10,280
16,20:00:01-21:00:00,8,201
17,21:00:01-22:00:00,7,242
18,22:00:01-23:00:00,2,44
19,23:00:01-24:00:00,0,0
