,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,10,154
1,05:00:01-06:00:00,7,33
2,06:00:01-07:00:00,8,38
3,07:00:01-08:00:00,7,148
4,08:00:01-09:00:00,5,148
5,09:00:01-10:00:00,9,168
6,10:00:01-11:00:00,8,205
7,11:00:01-12:00:00,7,210
8,12:00:01-13:00:00,4,123
9,13:00:01-14:00:00,5,259
10,14:00:01-15:00:00,4,206
11,15:00:01-16:00:00,6,233
12,16:00:01-17:00:00,10,341
13,17:00:01-18:00:00,11,351
14,18:00:01-19:00:00,5,301
15,19:00:01-20:00:00,9,445
16,20:00:01-21:00:00,9,373
17,21:00:01-22:00:00,7,357
18,22:00:01-23:00:00,5,275
19,23:00:01-24:00:00,7,246
