,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,0
1,05:00:01-06:00:00,3,0
2,06:00:01-07:00:00,6,329
3,07:00:01-08:00:00,12,467
4,08:00:01-09:00:00,10,504
5,09:00:01-10:00:00,12,566
6,10:00:01-11:00:00,8,609
7,11:00:01-12:00:00,9,340
8,12:00:01-13:00:00,7,325
9,13:00:01-14:00:00,4,205
10,14:00:01-15:00:00,6,297
11,15:00:01-16:00:00,7,176
12,16:00:01-17:00:00,7,132
13,17:00:01-18:00:00,10,229
14,18:00:01-19:00:00,7,126
15,19:00:01-20:00:00,9,340
16,20:00:01-21:00:00,6,189
17,21:00:01-22:00:00,5,207
18,22:00:01-23:00:00,2,61
19,23:00:01-24:00:00,0,0
