,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,1
1,05:00:01-06:00:00,4,3
2,06:00:01-07:00:00,5,229
3,07:00:01-08:00:00,9,231
4,08:00:01-09:00:00,7,249
5,09:00:01-10:00:00,7,331
6,10:00:01-11:00:00,9,225
7,11:00:01-12:00:00,5,169
8,12:00:01-13:00:00,7,200
9,13:00:01-14:00:00,4,131
10,14:00:01-15:00:00,6,182
11,15:00:01-16:00:00,7,60
12,16:00:01-17:00:00,9,81
13,17:00:01-18:00:00,9,128
14,18:00:01-19:00:00,9,147
15,19:00:01-20:00:00,11,217
16,20:00:01-21:00:00,7,109
17,21:00:01-22:00:00,5,240
18,22:00:01-23:00:00,3,85
19,23:00:01-24:00:00,0,0
