,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,8,81
1,05:00:01-06:00:00,6,34
2,06:00:01-07:00:00,12,54
3,07:00:01-08:00:00,9,80
4,08:00:01-09:00:00,8,70
5,09:00:01-10:00:00,5,108
6,10:00:01-11:00:00,6,190
7,11:00:01-12:00:00,5,158
8,12:00:01-13:00:00,2,177
9,13:00:01-14:00:00,8,202
10,14:00:01-15:00:00,5,264
11,15:00:01-16:00:00,5,161
12,16:00:01-17:00:00,7,307
13,17:00:01-18:00:00,3,212
14,18:00:01-19:00:00,5,293
15,19:00:01-20:00:00,5,331
16,20:00:01-21:00:00,4,289
17,21:00:01-22:00:00,4,210
18,22:00:01-23:00:00,6,235
19,23:00:01-24:00:00,4,163
