,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,9,74
1,05:00:01-06:00:00,6,24
2,06:00:01-07:00:00,8,42
3,07:00:01-08:00:00,11,100
4,08:00:01-09:00:00,12,128
5,09:00:01-10:00:00,9,157
6,10:00:01-11:00:00,9,227
7,11:00:01-12:00:00,5,155
8,12:00:01-13:00:00,6,193
9,13:00:01-14:00:00,3,116
10,14:00:01-15:00:00,9,97
11,15:00:01-16:00:00,7,201
12,16:00:01-17:00:00,6,220
13,17:00:01-18:00:00,6,283
14,18:00:01-19:00:00,4,303
15,19:00:01-20:00:00,4,343
16,20:00:01-21:00:00,5,235
17,21:00:01-22:00:00,6,270
18,22:00:01-23:00:00,7,280
19,23:00:01-24:00:00,3,135
