,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,9
2,06:00:01-07:00:00,3,101
3,07:00:01-08:00:00,3,103
4,08:00:01-09:00:00,2,104
5,09:00:01-10:00:00,4,155
6,10:00:01-11:00:00,2,135
7,11:00:01-12:00:00,4,93
8,12:00:01-13:00:00,2,41
9,13:00:01-14:00:00,1,27
10,14:00:01-15:00:00,2,47
11,15:00:01-16:00:00,1,24
12,16:00:01-17:00:00,2,21
13,17:00:01-18:00:00,2,24
14,18:00:01-19:00:00,1,16
15,19:00:01-20:00:00,0,19
16,20:00:01-21:00:00,1,9
17,21:00:01-22:00:00,2,24
18,22:00:01-23:00:00,2,3
19,23:00:01-24:00:00,0,2
