Route:- 3860,Date:- 01/01/2018,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,0,0,0,0,0,0,0,0,2,3.85,4,0.59,38,0.64,14,3.85,2,2.13,4,0.3,38,0.33,14,2.13
06:00:01-07:00:00,3,7.14,6,0.91,42,0.74,21,7.14,6,11.54,49,7.22,277,4.69,24,6.59,9,9.57,55,4.12,319,2.75,45,6.84
07:00:01-08:00:00,5,11.9,60,9.15,536,9.41,15.5,5.27,6,11.54,62,9.13,510,8.64,42,11.54,11,11.7,122,9.14,1046,9.02,58,8.81
08:00:01-09:00:00,4,9.52,62,9.45,516,9.06,23.6,8.03,5,9.62,83,12.22,678,11.49,35,9.62,9,9.57,145,10.86,1194,10.29,59,8.97
09:00:01-10:00:00,6,14.29,87,13.26,748,13.13,42,14.29,4,7.69,87,12.81,704,11.93,28,7.69,10,10.64,174,13.03,1452,12.52,70,10.64
10:00:01-11:00:00,2,4.76,56,8.54,555,9.74,7.2,2.45,5,9.62,75,11.05,756,12.81,18,4.95,7,7.45,131,9.81,1311,11.3,25,3.8
11:00:01-12:00:00,3,7.14,47,7.16,424,7.44,21,7.14,2,3.85,40,5.89,402,6.81,9.6,2.64,5,5.32,87,6.52,826,7.12,31,4.71
12:00:01-13:00:00,2,4.76,50,7.62,306,5.37,6.8,2.31,4,7.69,68,10.01,592,10.03,28,7.69,6,6.38,118,8.84,898,7.74,35,5.32
13:00:01-14:00:00,4,9.52,52,7.93,489,8.58,28,9.52,3,5.77,20,2.95,214,3.63,21,5.77,7,7.45,72,5.39,703,6.06,49,7.45
14:00:01-15:00:00,1,2.38,19,2.9,176,3.09,7,2.38,1,1.92,16,2.36,128,2.17,4,1.1,2,2.13,35,2.62,304,2.62,11,1.67
15:00:01-16:00:00,1,2.38,9,1.37,66,1.16,7,2.38,3,5.77,28,4.12,246,4.17,21,5.77,4,4.26,37,2.77,312,2.69,28,4.26
16:00:01-17:00:00,2,4.76,36,5.49,334,5.86,14,4.76,2,3.85,2,0.29,18,0.3,14,3.85,4,4.26,38,2.85,352,3.04,28,4.26
17:00:01-18:00:00,2,4.76,46,7.01,468,8.22,5.8,1.97,2,3.85,29,4.27,252,4.27,14,3.85,4,4.26,75,5.62,720,6.21,20,3.04
18:00:01-19:00:00,1,2.38,27,4.12,213,3.74,7,2.38,2,3.85,44,6.48,456,7.73,14,3.85,3,3.19,71,5.32,669,5.77,21,3.19
19:00:01-20:00:00,1,2.38,31,4.73,260,4.56,6.6,2.24,2,3.85,42,6.19,363,6.15,14,3.85,3,3.19,73,5.47,623,5.37,21,3.19
20:00:01-21:00:00,2,4.76,33,5.03,252,4.42,5.8,1.97,2,3.85,26,3.83,228,3.86,14,3.85,4,4.26,59,4.42,480,4.14,20,3.04
21:00:01-22:00:00,3,7.14,35,5.34,311,5.46,21,7.14,1,1.92,4,0.59,40,0.68,2.4,0.66,4,4.26,39,2.92,351,3.03,23,3.5
22:00:01-23:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,42,,656,,5696,,294,,52,,679,,5902,,364,,94,,1335,,11598,,658,
