,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,4,20,2
Up,2,4.0,20.0,3.0
Up,3,4.0,40.0,4.0
Up,4,5.0,12.0,5.0
Up,5,5.0,24.0,6.0
Up,6,5.0,36.0,7.0
Up,7,5.0,48.0,8.0
Up,8,6.0,6.0,9.0
Up,9,6.0,12.0,10.0
Up,10,6.0,18.0,11.0
Up,11,6.0,24.0,12.0
Up,12,6.0,30.0,13.0
Up,13,6.0,36.0,14.0
Up,14,6.0,42.0,15.0
Up,15,6.0,48.0,16.0
Up,16,6.0,54.0,17.0
Up,17,7.0,4.0,18.0
Up,18,7.0,8.0,19.0
Up,19,7.0,12.0,20.0
Up,20,7.0,16.0,21.0
Up,21,7.0,20.0,22.0
Up,22,7.0,24.0,23.0
Up,23,7.0,28.0,24.0
Up,24,7.0,32.0,25.0
Up,25,7.0,36.0,26.0
Up,26,7.0,40.0,27.0
Up,27,7.0,44.0,28.0
Up,28,7.0,48.0,29.0
Up,29,7.0,52.0,30.0
Up,30,8.0,5.0,31.0
Up,31,8.0,10.0,32.0
Up,32,8.0,15.0,33.0
Up,33,8.0,20.0,34.0
Up,34,8.0,25.0,35.0
Up,35,8.0,30.0,36.0
Up,36,8.0,35.0,37.0
Up,37,8.0,40.0,38.0
Up,38,8.0,45.0,39.0
Up,39,8.0,50.0,40.0
Up,40,9.0,5.0,41.0
Up,41,9.0,10.0,42.0
Up,42,9.0,15.0,43.0
Up,43,9.0,20.0,44.0
Up,44,9.0,25.0,45.0
Up,45,9.0,30.0,46.0
Up,46,9.0,35.0,47.0
Up,47,9.0,40.0,48.0
Up,48,9.0,45.0,49.0
Up,49,9.0,50.0,50.0
Up,50,9.0,55.0,51.0
Up,51,10.0,7.0,52.0
Up,52,10.0,14.0,53.0
Up,53,10.0,21.0,54.0
Up,54,10.0,28.0,55.0
Up,55,10.0,35.0,56.0
Up,56,10.0,42.0,57.0
Up,57,10.0,49.0,58.0
Up,58,11.0,6.0,59.0
Up,59,11.0,12.0,60.0
Up,60,11.0,18.0,61.0
Up,61,11.0,24.0,62.0
Up,62,11.0,30.0,63.0
Up,63,11.0,36.0,64.0
Up,64,11.0,42.0,65.0
Up,65,11.0,48.0,66.0
Up,66,12.0,7.0,67.0
Up,67,12.0,14.0,68.0
Up,68,12.0,21.0,69.0
Up,69,12.0,28.0,70.0
Up,70,12.0,35.0,71.0
Up,71,12.0,42.0,72.0
Up,72,12.0,49.0,73.0
Up,73,13.0,10.0,74.0
Up,74,13.0,20.0,75.0
Up,75,13.0,30.0,76.0
Up,76,13.0,40.0,77.0
Up,77,13.0,50.0,78.0
Up,78,14.0,10.0,79.0
Up,79,14.0,20.0,80.0
Up,80,14.0,30.0,81.0
Up,81,14.0,40.0,82.0
Up,82,14.0,50.0,83.0
Up,83,15.0,12.0,84.0
Up,84,15.0,24.0,85.0
Up,85,15.0,36.0,86.0
Up,86,15.0,48.0,87.0
Up,87,16.0,7.0,88.0
Up,88,16.0,14.0,89.0
Up,89,16.0,21.0,90.0
Up,90,16.0,28.0,91.0
Up,91,16.0,35.0,92.0
Up,92,16.0,42.0,93.0
Up,93,16.0,49.0,94.0
Up,94,17.0,6.0,95.0
Up,95,17.0,12.0,96.0
Up,96,17.0,18.0,97.0
Up,97,17.0,24.0,98.0
Up,98,17.0,30.0,99.0
Up,99,17.0,36.0,100.0
Up,100,17.0,42.0,101.0
Up,101,17.0,48.0,102.0
Up,102,17.0,54.0,103.0
Up,103,18.0,7.0,104.0
Up,104,18.0,14.0,105.0
Up,105,18.0,21.0,106.0
Up,106,18.0,28.0,107.0
Up,107,18.0,35.0,108.0
Up,108,18.0,42.0,109.0
Up,109,18.0,49.0,110.0
Up,110,19.0,6.0,111.0
Up,111,19.0,12.0,112.0
Up,112,19.0,18.0,113.0
Up,113,19.0,24.0,114.0
Up,114,19.0,30.0,115.0
Up,115,19.0,36.0,116.0
Up,116,19.0,42.0,117.0
Up,117,19.0,48.0,118.0
Up,118,20.0,7.0,119.0
Up,119,20.0,14.0,120.0
Up,120,20.0,21.0,121.0
Up,121,20.0,28.0,122.0
Up,122,20.0,35.0,123.0
Up,123,20.0,42.0,124.0
Up,124,20.0,49.0,125.0
Up,125,21.0,10.0,126.0
Up,126,21.0,20.0,127.0
Up,127,21.0,30.0,128.0
Up,128,21.0,40.0,129.0
Up,129,21.0,50.0,130.0
Up,130,22.0,8.0,131.0
Up,131,22.0,16.0,132.0
Up,132,22.0,24.0,133.0
Up,133,22.0,32.0,134.0
Up,134,22.0,40.0,135.0
Up,135,22.0,48.0,136.0
Up,136,,Total Buses required:,135.0
Down,0,4,0,2
Down,1,,Total Buses required:,1.0
Summary,0,,Total Buses required on route:,136.0
